selected_count,valid_count,precision,avg_return,avg_net_return,median_return,hit_count,fallback_count,days_with_signals,threshold_up,threshold_down,threshold_risk,weight_up,weight_down,weight_risk,coverage_rate,total_days,fallback_min_passed_ratio,weighted_score
214,212,0.2028301886792453,5.944670739998471e-05,-0.001940553292600016,0.0,43,62,120,0.16,0.48,0.4,1.0,0.5,0.4,1.0,120,0.4,0.2211159472197672
220,218,0.2018348623853211,0.0015735009717768047,-0.00042649902822319624,0.0004394771159021982,44,76,120,0.17,0.52,0.4,1.0,0.5,0.4,1.0,120,0.4,0.22097296772272573
196,195,0.2,0.0005729994405624975,-0.0014270005594375034,0.0,39,102,120,0.17,0.48,0.45,1.0,0.5,0.4,1.0,120,0.4,0.2195718998321688
132,131,0.1984732824427481,0.0005270096094877756,-0.001472990390512225,0.0,26,120,120,0.19,0.48,0.35,1.0,0.5,0.4,1.0,120,0.4,0.2186420723484952
232,230,0.1956521739130435,0.0009677659001133604,-0.0010322340998866406,0.00032458502420951163,45,31,120,0.16,0.5,0.4,1.0,0.5,0.4,1.0,120,0.4,0.21708163411786013
195,194,0.1958762886597938,0.0004027351675229806,-0.0015972648324770206,0.0,38,104,120,0.17,0.48,0.4,1.0,0.5,0.4,1.0,120,0.4,0.21704659374613322
238,236,0.19491525423728814,0.00080549888219137,-0.0011945011178086313,0.0004442596268258159,46,27,120,0.16,0.52,0.35,1.0,0.5,0.4,1.0,120,0.4,0.2165908022070303
232,230,0.19130434782608696,0.0006553312543048951,-0.0013446687456951057,0.0003819301613419146,44,35,120,0.16,0.5,0.35,1.0,0.5,0.4,1.0,120,0.4,0.2143792080719437
233,231,0.19047619047619047,0.0009545841150067132,-0.0010454158849932877,0.00032679738562091387,44,30,120,0.16,0.5,0.45,1.0,0.5,0.4,1.0,120,0.4,0.21397208952021635
213,211,0.1895734597156398,0.0016987392959024775,-0.0003012607040975234,0.0004370629370629153,40,88,120,0.17,0.5,0.35,1.0,0.5,0.4,1.0,120,0.4,0.21365369761815467
219,217,0.1889400921658986,0.0014072394133645327,-0.0005927605866354681,0.0004370629370629153,41,81,120,0.17,0.52,0.35,1.0,0.5,0.4,1.0,120,0.4,0.21318622712354857
149,148,0.1891891891891892,0.0005135945507709777,-0.001486405449229023,-0.0005345388990594668,28,117,120,0.18,0.48,0.35,1.0,0.5,0.4,1.0,120,0.4,0.21306759187874486
192,191,0.18848167539267016,0.0009262437166040695,-0.0010737562833959314,0.0,36,106,120,0.17,0.48,0.35,1.0,0.5,0.4,1.0,120,0.4,0.21276687835058333
