scenario,threshold_up,threshold_down,threshold_risk,fallback_max,fallback_min_passed_all,fallback_min_passed_ratio,selected_total,coverage,precision,avg_return
up0.18_down0.50_risk0.40_fbNone_min3_ratio0.4,0.18,0.5,0.4,,3.0,0.4,61,0.4083333333333333,0.35,0.003307711830129604
up0.18_down0.50_risk0.40_fbNone_min3_ratio0.45,0.18,0.5,0.4,,3.0,0.45,61,0.4083333333333333,0.35,0.003307711830129604
up0.18_down0.50_risk0.40_fbNone_min3_ratio0.5,0.18,0.5,0.4,,3.0,0.5,61,0.4083333333333333,0.35,0.003307711830129604
up0.18_down0.50_risk0.40_fb1_minNone_ratioNone,0.18,0.5,0.4,1.0,,,169,1.0,0.23353293413173654,0.00119905372454562
up0.18_down0.50_risk0.40_fb1_minNone_ratio0.4,0.18,0.5,0.4,1.0,,0.4,169,1.0,0.23353293413173654,0.00119905372454562
up0.18_down0.50_risk0.40_fb1_minNone_ratio0.45,0.18,0.5,0.4,1.0,,0.45,169,1.0,0.23353293413173654,0.00119905372454562
up0.18_down0.50_risk0.40_fb1_minNone_ratio0.5,0.18,0.5,0.4,1.0,,0.5,169,1.0,0.23353293413173654,0.00119905372454562
up0.18_down0.50_risk0.40_fb1_min2_ratioNone,0.18,0.5,0.4,1.0,2.0,,169,1.0,0.23353293413173654,0.00119905372454562
up0.18_down0.50_risk0.40_fb1_min2_ratio0.4,0.18,0.5,0.4,1.0,2.0,0.4,169,1.0,0.23353293413173654,0.00119905372454562
up0.18_down0.50_risk0.40_fb1_min2_ratio0.45,0.18,0.5,0.4,1.0,2.0,0.45,169,1.0,0.23353293413173654,0.00119905372454562
up0.18_down0.50_risk0.40_fb1_min2_ratio0.5,0.18,0.5,0.4,1.0,2.0,0.5,169,1.0,0.23353293413173654,0.00119905372454562
up0.18_down0.50_risk0.40_fb1_min3_ratioNone,0.18,0.5,0.4,1.0,3.0,,169,1.0,0.23353293413173654,0.00119905372454562
up0.18_down0.50_risk0.40_fb1_min3_ratio0.4,0.18,0.5,0.4,1.0,3.0,0.4,169,1.0,0.23353293413173654,0.00119905372454562
up0.18_down0.50_risk0.40_fb1_min3_ratio0.45,0.18,0.5,0.4,1.0,3.0,0.45,169,1.0,0.23353293413173654,0.00119905372454562
